,city,job_title,company_name,location,summary,salary,og_salary_period
231,pittsburgh,research data analyst   oncology   west penn hospital,allegheny singer research institute,pittsburgh  pa,obtains source documentation to complete data forms  enters  maintains  and submits data in various research sponsor databases    ,,
232,pittsburgh,statistician hpl,upmc,pittsburgh  pa,work with data team to generate and organize constructs necessary for data analysis  investigate variances in data and derive solutions to quality issues    ,,
233,pittsburgh,research data analyst   neurosurgery,allegheny general hospital,pittsburgh  pa,obtains source documentation to complete data forms  enters  maintains  and submits data in various research sponsor databases    ,,
234,pittsburgh,senior associate scientist technical scouting,covestro,pittsburgh  pa,research in the fields of composites  sustainable chemistry  data science or data analytics  your tasks and responsibilities    ,,
235,pittsburgh,data scientist,predictive science,pittsburgh,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
236,pittsburgh,manager  machine learning,qeexo,pittsburgh  pa,data structures and algorithms  familiar   comfortable working in a terminal environment  writing scripts  bash python  to process data    ,,
237,pittsburgh,senior research scientist   2002838,software engineering institute,pittsburgh  pa,sei emerging technology center director < chief scientist research scientist  modern computing  data  and storage solutions  data processing architectures   ,,
238,pittsburgh,active learning for crowd machine collaboration intern,bosch group,pittsburgh  pa,the internship will be based at bosch's research and technology center in pittsburgh  and will work closely with bosch scientists  developers  and cmu   ,,
239,pittsburgh,3d character animation programmer  machine learning,carnegie mellon university,pittsburgh  pa,inmind project: 3d character animation programmer we seek a research programmer to join a major research effort to develop integrated intelligent software,,
240,pittsburgh,computer vision,argo ai,pittsburgh  pa,we are looking for highly motivated  technically deep engineers and applied scientists to join our team and help us realize this vision    ,,
241,pittsburgh,research scientist  mechanical engineering  meche ,carnegie mellon university,pittsburgh  pa,research scientist  mechanical engineering  meche   data mining machine learning  optimization  and programming required    ,,
242,pittsburgh,research intern: machine learning  user thermal comfort models,bosch group,pittsburgh  pa,practical experience in using matlab  r  scikit  and or other data analytics toolkits  analyze sensor data time series to characterize environmental conditions    ,,
243,pittsburgh,research programmer  machine learning,carnegie mellon university,pittsburgh  pa,we seek a machine learning research programmer to join a major research effort to develop integrated intelligent software assistants operating on mobile,,
244,pittsburgh,research scientist   engineer  phd,duolingo,pittsburgh  pa,analyze data using billions of duolingo student activity logs  experience with sql and working with data warehouses    ,,
245,portland,data scientist,predictive science,portland,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
247,portland,physical scientist   biologist,wilson construction,canby  or,interpret and analyze data and prepare reports  wilson construction company has an immediate opening in the environmental department at our headquarter office   ,,
248,portland,data scientist intern,intel,hillsboro  or,dcg e g's business insight   strategy team is looking for a data scientist intern who will use predictive modeling  data mining  and other analytic techniques   ,,
250,portland,data production   analysis i,kaiser permanente,portland  or,the data analyst is responsible for supporting the business community needs for data collection  analysis  and reporting from a variety of sources including   ,,
251,portland,market research  sr  analyst,nike inc,portland  or,you will support development and refinement of secondary syndicated sources of market size share data for asia and emerging market countries including   ,,
253,portland,materials researcher ii,nike inc,portland  or,for these reasons exceptional presentation and data analysis skills are essential  the polymers research development team has an opening for a material scientist or engineer to   ,,
256,portland,statistician   research,portland va research foundation,portland  or,extensive experience using sas or other statistical software to analyze data from large clinical or administrative datasets  such as hospital and patient record   ,,
257,portland,senior analyst  load research  r17 196 ,portland general electric,portland  or,maintain large databases and data sets  manipulate  transform and cleanse large data sets  produce customer load profiles from hourly and higher frequency  e g    ,,
258,portland,professional wetland scientist,hart crowser  inc ,portland  or,professional wetland scientist  pws  license  write technical reports  collect data  and conduct survey field work    ,,
259,portland,corporate research analyst,discoverorg,vancouver  wa,verify entered data by reviewing  deleting  or modifying data  prepare source data for entry by compiling and organizing data and researching incomplete or   ,,
260,portland,principal data architect,familycare health,portland  or,architects the data pipeline  the principal data architect will create the conceptual design of database infrastructure  data marts  data warehouse data lake    ,,
261,portland,hpc research scientist    runtimes and automatic performance tuning,intel,hillsboro  or,the data center is the underpinning for every data driven service  from artificial intelligence to 5g to high performance computing  and dcg delivers the   ,,
262,portland,biostatistician 4,providence health   services,portland  or,make recommendations regarding research  data gathering  and analyses to decrease bias and data errors  draw conclusions from complex research data    ,,
263,portland,analyst  energy services   statistical and economic analysis group,the cadmus group  inc ,portland  or,clean and analyze complex data sets  collect weather data  merge data from various sources  you will participate in developing exciting new solutions to analyze   ,,
264,portland,consulting research associate  analyst or senior,cambia health,portland  or,knowledge of health plan operations  data sources  data structures  expert level in using analytical   statistical programming tools and querying complex data   ,,
265,portland,statistician,intel,hillsboro  or,ability to work effectively with others  provide team leadership in data analysis and interpretation  activities include consulting with managers  engineers    ,,
267,portland,2017 research scientist,intel,hillsboro  or,this includes the security of personal and enterprise data in emerging cloud computing paradigms  including technologies such as openstack  as well as the   ,,
268,portland,statistical analyst,intel,hillsboro  or,experience with sql and data mining skills  in this role you will be responsible for applying your expertise in quantitative analysis  data mining  and the   ,,
269,phoenix,data scientist,predictive science,phoenix,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
270,phoenix,sr  engineer   machine learning,experian,scottsdale  az,we use a unique combination of data  analytics and technology to create right sized fraud solutions that allow our clients to make confident decisions for every   ,,
272,phoenix,data scientist intern,emailage,chandler  az,experience with data manipulation using tools  eg:  emailage is growing at an outstanding rate and we have an immediate opportunity for a skilled and   ,,
273,phoenix,sr  data scientist,honeywell,phoenix  az,the data scientist role will work closely with analytics solution managers  data engineers and application architects to integrate results into operational   ,,
275,phoenix,sr  data scientist   forecasting,honeywell,phoenix  az,senior data scientist   forecasting  as a senior data scientist – forecasting in the analytics center of excellence team  you will:    ,,
276,phoenix,statistician,petsmart,phoenix  az,evaluate data quality and extract transform load data for analytic and discovery projects  deep experience with data mining  data analytics  predictive modeling   ,,
277,phoenix,data scientist sr,apria healthcare,chandler  az,data scientist identifies business trends and problems through complex big data analysis  prepares big data  implements data models and develops database to   ,,
279,phoenix,associate,exponent,phoenix  az,our multidisciplinary team of scientists  engineers  physicians  and regulatory consultants brings together more than 90 different disciplines to solve   ,,
281,phoenix,industrial environmental officer,convergys,phoenix  az,maintaining databases for training and exposure measurement data  our multidisciplinary team of scientists  engineers  physicians  and regulatory consultants   ,,
282,phoenix,programmer analyst,boeing,mesa  az,skilled scientists and thinkers  experience querying data from oracle databases using sql  information technology vertical lift tech data systems seeks a highly   ,,
283,phoenix,market research analyst,rise services  inc ,phoenix  az,collects data on customer preferences and buying habits  analyzes data and recommends specific actions based on findings    ,,
284,phoenix,bioinfomatics analyst i,systems imagination,scottsdale  az,familiarity with next ‐generation sequence data analysis tools  statistical analysis  data integration and pathway network analysis are preferred skills    ,,
285,phoenix,instructor  sr  data scientist,galvanize,phoenix  az,join us in building the world's hub for education in data science and data engineering  we are growing our data science instructional team at galvanize    ,,
286,phoenix,statistician,matrix medical network,scottsdale  az,proven ability to proficiently data mine  required  experience with qualitative and quantitate data analysis and reporting  required    ,,
287,phoenix,lead data scientist,honeywell,phoenix  az,mentoring a team of data scientists in building predictive analytics algorithms for machine  component failure    ,,
288,phoenix,sr  engineer   big data,beyondsoft consulting corp ,tempe  az,he or she is responsible for moving large data sets from multiple sources and ingest this data into the grainger’s data science lab environment and ultimately   ,,
289,phoenix,lead instructor  principal data scientist,galvanize,phoenix  az,lead instructor  principal data scientist  join us in building the world's hub for education in data science and data engineering    ,,
290,phoenix,business intelligence developer,srp,phoenix  az,2  years of relevant experience in a visualization development  data science  business analytics  business intelligence or comparable data engineering role    ,,
291,phoenix,master data engineer,discover financial services,phoenix  az,provide support for deployed data applications and analytical models by being a trusted advisor to data scientists and other data consumers by identifying data   ,,
292,phoenix,pharmacy assistant,convergys,phoenix  az,experience and proficiency in prescription data order entry and medical terminology  our research analysts are trained social scientists with post graduate   ,,
293,denver,data scientist,partner's consulting  inc ,denver  co,we are looking for a data scientist that will help our client discover the information hidden in vast amounts of data  and help them make smarter decisions to   ,,
294,denver,sr  data scientist,charles schwab,lone tree  co,data scientist  you will have a unique opportunity to join a dynamic and innovative team that develops and maintains an infrastructure to support risk   ,,
295,denver,director  product development,altisource,denver  co,this person will also be leading a team of product owners and data scientist locally  creating a method of collaboration between the development work locally   ,,
297,denver,data science analyst,xentity corporation,denver  co,we are looking for data analysts  data wranglers  data scientists with excellent leadership  technical  and subject matter expertise qualities    ,,
